"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","224.43","229.58","232.82","223.56","26.71M","-5.20%"
"Jun 10, 2020","236.73","241.16","241.16","235.44","20.72M","-0.81%"
"Jun 09, 2020","238.67","231.49","239.75","230.55","27.46M","3.14%"
"Jun 08, 2020","231.40","229.70","231.50","227.52","15.47M","0.27%"
"Jun 05, 2020","230.77","226.71","231.35","225.31","16.75M","1.98%"
"Jun 04, 2020","226.29","229.47","231.62","224.63","17.04M","-1.68%"
"Jun 03, 2020","230.16","232.40","232.60","228.58","15.38M","-1.10%"
"Jun 02, 2020","232.72","230.94","232.90","226.56","20.92M","0.35%"
"Jun 01, 2020","231.91","224.48","232.41","223.58","18.22M","3.03%"
"May 29, 2020","225.09","225.20","227.48","222.98","23.32M","-0.16%"
"May 28, 2020","225.46","224.20","231.60","224.20","29.42M","-1.61%"
"May 27, 2020","229.14","229.16","230.55","221.16","34.70M","-1.32%"
"May 26, 2020","232.20","239.91","240.76","231.73","33.18M","-1.15%"
"May 22, 2020","234.91","231.51","235.99","228.74","33.93M","1.52%"
"May 21, 2020","231.39","234.78","237.13","231.26","47.78M","0.62%"
"May 20, 2020","229.97","223.65","231.25","223.28","50.16M","6.04%"
"May 19, 2020","216.88","213.07","220.47","212.84","31.84M","1.73%"
"May 18, 2020","213.19","212.06","214.59","211.00","20.17M","1.10%"
"May 15, 2020","210.88","204.99","211.27","204.14","19.38M","1.97%"
"May 14, 2020","206.81","202.45","206.88","200.71","17.18M","0.83%"
"May 13, 2020","205.10","209.27","210.75","202.18","20.68M","-2.38%"
"May 12, 2020","210.10","213.29","215.27","210.00","14.70M","-1.44%"
"May 11, 2020","213.18","210.89","215.00","210.37","12.91M","0.39%"
"May 08, 2020","212.35","212.24","213.21","210.85","12.52M","0.52%"
"May 07, 2020","211.26","211.16","211.60","209.04","15.15M","1.34%"
"May 06, 2020","208.47","208.12","211.60","206.66","21.86M","0.68%"
"May 05, 2020","207.07","207.02","210.38","206.50","21.07M","0.88%"
"May 04, 2020","205.26","200.20","205.91","198.76","19.25M","1.48%"
"May 01, 2020","202.27","201.60","207.28","199.05","30.42M","-1.19%"
"Apr 30, 2020","204.71","206.92","209.69","201.57","46.23M","5.42%"
"Apr 29, 2020","194.19","190.93","196.91","190.00","45.95M","6.17%"
